time, act_r, act_thr, th_mo, th_bi
0.0153,0.344506,1.58746,0.776784,2.39813
0.0154,0.344416,1.58751,0.776593,2.39843
0.0155,0.344326,1.58757,0.7764,2.39874
0.0156,0.344236,1.58762,0.776205,2.39904
0.0157,0.344146,1.58767,0.776007,2.39934
0.0158,0.344056,1.58772,0.775807,2.39963
0.0159,0.343965,1.58777,0.775604,2.39993
0.016,0.343875,1.58781,0.775399,2.40022
0.0161,0.343785,1.58785,0.775192,2.40051
0.0162,0.343694,1.58789,0.774982,2.4008
0.0163,0.343604,1.58793,0.77477,2.40109
0.0164,0.343513,1.58796,0.774555,2.40137
0.0165,0.343423,1.58799,0.774338,2.40165
0.0166,0.343332,1.58802,0.774119,2.40193
0.0167,0.343242,1.58805,0.773897,2.40221
0.0168,0.343151,1.58808,0.773673,2.40248
0.0169,0.34306,1.5881,0.773447,2.40275
0.017,0.34297,1.58812,0.773218,2.40302
0.0171,0.342879,1.58814,0.772987,2.40329
0.0172,0.342788,1.58815,0.772753,2.40356
0.0173,0.342698,1.58817,0.772517,2.40382
0.0174,0.342607,1.58818,0.772279,2.40408
0.0175,0.342516,1.58819,0.772038,2.40434
0.0176,0.342425,1.58819,0.771795,2.40459
0.0177,0.342335,1.5882,0.77155,2.40484
0.0178,0.342244,1.5882,0.771302,2.40509
0.0179,0.342153,1.5882,0.771052,2.40534
0.018,0.342063,1.58819,0.7708,2.40558
0.0181,0.341972,1.58819,0.770545,2.40583
0.0182,0.341881,1.58818,0.770289,2.40607
0.0183,0.341791,1.58817,0.770029,2.4063
0.0184,0.3417,1.58815,0.769768,2.40654
0.0185,0.34161,1.58814,0.769504,2.40677
0.0186,0.341519,1.58812,0.769238,2.407
0.0187,0.341429,1.5881,0.76897,2.40723
0.0188,0.341338,1.58808,0.7687,2.40745
0.0189,0.341248,1.58805,0.768427,2.40768
0.019,0.341158,1.58802,0.768152,2.40789
0.0191,0.341067,1.58799,0.767875,2.40811
0.0192,0.340977,1.58796,0.767596,2.40833
0.0193,0.340887,1.58793,0.767314,2.40854
0.0194,0.340797,1.58789,0.767031,2.40875
0.0195,0.340707,1.58785,0.766745,2.40895
0.0196,0.340617,1.58781,0.766457,2.40916
0.0197,0.340527,1.58776,0.766167,2.40936
0.0198,0.340437,1.58772,0.765875,2.40956
0.0199,0.340347,1.58767,0.765581,2.40975
0.02,0.340257,1.58762,0.765284,2.40995
0.0201,0.340168,1.58756,0.764986,2.41014
0.0202,0.340078,1.58751,0.764686,2.41033
